OrderID,ItemsList
ORD_000,"ITEM_007, ITEM_004"
ORD_001,"ITEM_052, ITEM_084, ITEM_018, ITEM_004, ITEM_017"
ORD_002,"ITEM_001, ITEM_002, ITEM_014"
ORD_003,"ITEM_019, ITEM_006, ITEM_015, ITEM_003, ITEM_017"
ORD_004,"ITEM_007, ITEM_005"
ORD_005,"ITEM_012, ITEM_013, ITEM_014"
ORD_006,"ITEM_001, ITEM_002, ITEM_018, ITEM_020"
ORD_007,"ITEM_007, ITEM_005, ITEM_008"
ORD_008,"ITEM_027, ITEM_005, ITEM_015, ITEM_000"
ORD_009,ITEM_040
ORD_010,"ITEM_006, ITEM_009"
ORD_011,"ITEM_079, ITEM_040, ITEM_013"
ORD_012,"ITEM_007, ITEM_001"
ORD_013,"ITEM_019, ITEM_000, ITEM_012, ITEM_009, ITEM_044"
ORD_014,"ITEM_003, ITEM_000, ITEM_044, ITEM_029"
ORD_015,"ITEM_012, ITEM_015, ITEM_094"
ORD_016,ITEM_007
ORD_017,"ITEM_077, ITEM_007, ITEM_017"
ORD_018,"ITEM_015, ITEM_001, ITEM_003, ITEM_071"
ORD_019,"ITEM_007, ITEM_010, ITEM_078, ITEM_015"
ORD_020,"ITEM_006, ITEM_000, ITEM_009, ITEM_040, ITEM_008"
ORD_021,"ITEM_019, ITEM_010, ITEM_011, ITEM_018, ITEM_017"
ORD_022,"ITEM_010, ITEM_026, ITEM_011, ITEM_001, ITEM_017"
ORD_023,"ITEM_006, ITEM_012, ITEM_009, ITEM_011, ITEM_004"
ORD_024,"ITEM_012, ITEM_082"
ORD_025,"ITEM_019, ITEM_045"
ORD_026,"ITEM_085, ITEM_003, ITEM_002, ITEM_016"
ORD_027,ITEM_006
ORD_028,"ITEM_007, ITEM_005"
ORD_029,"ITEM_097, ITEM_070, ITEM_049"
ORD_030,"ITEM_012, ITEM_010, ITEM_004"
ORD_031,"ITEM_010, ITEM_011, ITEM_018, ITEM_003, ITEM_017"
ORD_032,"ITEM_006, ITEM_017"
ORD_033,"ITEM_036, ITEM_012, ITEM_095, ITEM_018, ITEM_014"
ORD_034,"ITEM_007, ITEM_013, ITEM_049"
ORD_035,"ITEM_052, ITEM_007, ITEM_002, ITEM_076"
ORD_036,"ITEM_008, ITEM_000"
ORD_037,"ITEM_015, ITEM_006, ITEM_001, ITEM_013"
ORD_038,ITEM_017
ORD_039,"ITEM_006, ITEM_014, ITEM_098"
ORD_040,"ITEM_012, ITEM_008, ITEM_004, ITEM_014"
ORD_041,"ITEM_022, ITEM_012, ITEM_015, ITEM_008, ITEM_064"
ORD_042,"ITEM_005, ITEM_002"
ORD_043,"ITEM_006, ITEM_013, ITEM_001, ITEM_007, ITEM_043"
ORD_044,"ITEM_011, ITEM_005, ITEM_004, ITEM_037"
ORD_045,"ITEM_047, ITEM_048"
ORD_046,ITEM_002
ORD_047,"ITEM_007, ITEM_087, ITEM_000"
ORD_048,ITEM_088
ORD_049,"ITEM_012, ITEM_009, ITEM_008, ITEM_014, ITEM_004"
ORD_050,"ITEM_089, ITEM_012, ITEM_002, ITEM_048, ITEM_001"
ORD_051,"ITEM_009, ITEM_092, ITEM_041, ITEM_016"
ORD_052,"ITEM_012, ITEM_015, ITEM_069, ITEM_005, ITEM_013"
ORD_053,"ITEM_012, ITEM_005, ITEM_063, ITEM_014"
ORD_054,"ITEM_015, ITEM_006, ITEM_023"
ORD_055,ITEM_018
ORD_056,"ITEM_007, ITEM_018, ITEM_021"
ORD_057,"ITEM_006, ITEM_044"
ORD_058,"ITEM_017, ITEM_092, ITEM_022"
ORD_059,"ITEM_001, ITEM_009"
ORD_060,"ITEM_006, ITEM_022, ITEM_005, ITEM_008, ITEM_013"
ORD_061,"ITEM_012, ITEM_003"
ORD_062,"ITEM_001, ITEM_004, ITEM_019, ITEM_000"
ORD_063,"ITEM_000, ITEM_039, ITEM_015, ITEM_002, ITEM_004"
ORD_064,"ITEM_012, ITEM_091, ITEM_095, ITEM_016"
ORD_065,"ITEM_011, ITEM_008"
ORD_066,"ITEM_012, ITEM_007, ITEM_000, ITEM_029"
ORD_067,ITEM_003
ORD_068,"ITEM_033, ITEM_013"
ORD_069,ITEM_018
ORD_070,"ITEM_036, ITEM_000, ITEM_008, ITEM_013, ITEM_016"
ORD_071,"ITEM_011, ITEM_010, ITEM_008, ITEM_009"
ORD_072,ITEM_006
ORD_073,"ITEM_006, ITEM_026, ITEM_082, ITEM_056, ITEM_014"
ORD_074,"ITEM_037, ITEM_016"
ORD_075,ITEM_002
ORD_076,ITEM_010
ORD_077,"ITEM_015, ITEM_004, ITEM_020"
ORD_078,"ITEM_011, ITEM_012, ITEM_008, ITEM_032"
ORD_079,"ITEM_003, ITEM_020"
ORD_080,ITEM_090
ORD_081,"ITEM_019, ITEM_006, ITEM_000, ITEM_015, ITEM_018"
ORD_082,"ITEM_001, ITEM_007, ITEM_011"
ORD_083,ITEM_004
ORD_084,ITEM_002
ORD_085,ITEM_004
ORD_086,"ITEM_012, ITEM_011, ITEM_014, ITEM_003, ITEM_013"
ORD_087,ITEM_007
ORD_088,"ITEM_005, ITEM_003, ITEM_004"
ORD_089,"ITEM_012, ITEM_005, ITEM_004, ITEM_019"
ORD_090,"ITEM_019, ITEM_006, ITEM_039, ITEM_014, ITEM_017"
ORD_091,"ITEM_011, ITEM_012, ITEM_016"
ORD_092,"ITEM_001, ITEM_099, ITEM_000, ITEM_017"
ORD_093,"ITEM_015, ITEM_018, ITEM_001, ITEM_003, ITEM_008"
ORD_094,"ITEM_006, ITEM_059"
ORD_095,"ITEM_008, ITEM_078"
ORD_096,"ITEM_005, ITEM_008, ITEM_009"
ORD_097,"ITEM_011, ITEM_002, ITEM_018"
ORD_098,"ITEM_015, ITEM_004, ITEM_017, ITEM_014"
ORD_099,"ITEM_006, ITEM_003, ITEM_009"
